user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
01185ee9-be8e-4154-abf5-1d823b639756,301,98,142,25174
0232f5a5-79c5-491e-bd54-9b4577fbfe4a,41,8,23,9779
028bda7f-202d-4860-b057-4fb3e2e3b0e4,673,140,138,30861
03fd95f8-f226-433b-b5cd-5323cd34f727,41,18,49,2661
04966d94-c80c-4594-a4f1-1a4a5a5b9f11,49,31,3,5691
068b9623-722b-4b17-9c19-148ffdc1f3c1,679,256,250,46701
08434ab8-be13-42ee-8b46-85cb1345fd32,598,99,74,18813
08c178c6-120b-44c3-883d-65538e54b5a3,72,47,95,13098
093d8cfe-e2b3-4d65-9e0d-d4dc5e979963,36,26,71,3259
09edceb4-cdd3-41bf-afea-230518371efe,195,37,12,4890
0b12140f-80f6-4454-80d7-46b7abf0653f,91,20,91,9668
0b9eb459-3e26-431a-817d-197791a95297,204,98,89,28323
0c06c76c-e9a8-4707-9dd2-097c47b26919,816,194,693,103399
0c2dc684-1fc4-488c-921f-cffb09a37550,19,4,4,664
0e836ef8-a770-42b2-b61e-989696052853,578,81,9,32070
0faafe5e-0ac6-46b8-bf5c-3743ad8b9849,292,172,1752,43233
12651819-2c9d-4935-b9c0-a9964580962d,210,46,314,12441
1367aa4c-63e2-4870-a2db-2d95c978a961,1255,402,163,67638
1665d830-df2a-4b84-ad8f-2508bb659f83,234,27,120,8401
1c36a53b-2bfe-484f-8b1a-7d2aea410528,378,135,64,13842
1f3786df-b424-4092-932f-1e27161a0215,19,12,2,2433
21b830c8-452c-479c-870c-6801b3af2a95,309,104,51,26865
24746c70-a468-47b3-a27a-499bcee50248,941,202,667,16371
24d0dedd-3752-40e4-a843-1f9fef100821,34,15,0,2225
257432ee-7dfa-4c0c-94b1-f7fac7951db3,28,11,0,2888
2638a22f-22d8-4cb5-8166-83fcbbd6ac29,216,102,854,14155
263b0a84-7f5d-4267-ae9c-93c933b3d6fd,160,45,60,13558
26bff66a-4f99-448b-8115-8851c9fd99db,36,29,2,5230
2726c177-f8f0-44c4-aad4-bc2055099c2f,352,138,2035,46031
2df0aed8-e95b-4199-9a9e-94fbd07cc307,22,16,68,4168
2e6f45eb-f552-495f-938d-6e139616398b,490,129,154,27110
318f666d-0d70-4eb6-ada0-8108f9fac7fa,239,54,82,12412
32ede9ee-3832-43fc-9991-0f463b497f9a,360,41,144,22620
35c56f59-5242-446e-a8d9-f59ed7f4808d,26,9,3,4240
3976e7bc-0f0b-4573-a985-b8866c35b213,1072,246,992,155535
3d36f0cd-3917-4f2c-946f-217b37391bce,395,128,122,28334
3e942b1c-9eeb-441e-b481-5c3d8ff8142d,326,55,144,15409
431d2357-f9ad-4960-a59c-4ee549800f99,180,105,100,21865
45b37cd7-528d-47ce-875e-6e996d98f8ce,144,60,56,18574
45e94804-211f-43c9-9b1f-d44d0a9103de,593,146,113,23233
4661de30-50dc-4d47-8b4f-e41fbda1c227,252,49,35,26251
47522aa4-993a-4aec-b37c-cb082bb59562,136,51,372,18038
47fc50a6-3a10-4e55-ac13-115814bf4e31,127,67,562,20494
49b07be3-4134-4c18-a93e-8515d6bc792d,648,292,313,34757
49b630da-278c-4d23-ad24-66ec679b5fa6,632,220,27,44833
49c6b727-874b-42f4-8997-eb4257332f8a,233,118,42,10959
542bb2f5-5fa6-42fb-ba82-eeb40b470c08,27,20,40,6344
55004618-30e1-45c4-be16-a0038bd628f0,121,72,1818,16945
5593e320-2329-4c53-8d8e-104687c14486,18,9,16,1146
56ec81f0-8579-4802-9538-52a2b0722078,182,42,70,7266
579608ea-c8f8-4d38-8602-9904593c1a79,325,130,79,12359
58f998b4-71ec-4a53-8cf5-a77b4273afc3,18,5,105,4504
5a761a40-f10d-44c0-acb5-a13ebe8fcf2a,23,12,18,4762
5ae7c861-d0fb-4ab1-94f6-20a9e7d7f2fa,784,480,642,43682
5d537e9d-ff40-44a5-981e-5ade0c0ab938,163,36,388,6182
5e44afb0-e315-4154-a07a-dadb14e6de17,251,162,208,28439
60df6a8d-eb3a-4267-9ef1-73f230361394,43,24,141,4442
614bf2bc-d241-4896-bec3-65b12a878870,31,8,1,2814
632d717a-ff0e-47d0-b1e3-e40fd499d8e2,144,14,51,7569
632f3e55-c933-49c9-97bb-6e41d19da77f,136,88,393,22960
642abb75-c760-4767-a447-7ca89e54f197,151,71,352,36432
64e4f021-fe9f-49cd-9c77-b38afee9d70d,207,108,159,10958
64f9f5ea-e7fa-4cf6-9473-ca3e0dc5c0bb,217,76,102,20173
68596faa-b852-44b1-9f49-ad9aec865cc8,309,62,0,12486
68f436bc-19f7-4ede-baff-a91529b7ccb8,418,35,167,26343
6e8e5936-82e2-4863-bf2f-df650f970c1e,455,154,660,60946
6fc3fa08-f213-4706-962d-75f7173d274d,282,93,285,22617
70635f93-0335-406d-891d-74e3a2febea7,16,7,0,1436
70aea408-36c5-4552-b698-e5cb3e472ae9,678,315,136,41976
70de80f4-045e-4d59-8ffe-700094e738f3,14,6,38,3947
780a824c-6dd9-4f31-b6a7-2c916150aeb7,281,49,41,12240
7a6fb561-33d0-43b1-bc65-c88970d06358,657,189,200,35313
7adf05e6-3b05-484d-ab97-515710fdd649,4,2,0,1654
7bb2986b-b772-4d70-b117-6e3703b4ee00,793,261,470,62360
7bcc4a53-3fac-4098-8123-6293321155ae,20,9,10,2069
7c2ed67d-0131-4117-850e-18d6c675dd2f,105,72,266,24508
7cca9ed5-1059-4033-ac63-d50efcb9a78e,705,217,146,48488
7ce363be-aec9-430c-8998-e927b3f47e75,155,40,31,9962
80d3e97d-d835-4aa7-95eb-87d0872139d2,117,41,93,9280
8107b0c3-f506-45c4-b51f-53b1f03f2fbd,67,30,173,5486
855be2e7-d894-4e2a-8a8b-c9317e18070c,544,193,31,30639
86f020b0-0684-4ff5-8527-10907782a75d,136,107,22,4123
875099a0-765c-44cd-85e9-599f95a4aa33,272,82,91,7882
87d830b1-2062-4541-bcf8-e86d4f3e1b52,20,8,228,5460
89adbaf5-ad83-4d5a-ac13-467ecccc6fc1,579,190,741,46571
8abbb3b9-c08f-4c5d-bf30-66724c21d6f5,204,24,94,15533
8cac96b6-6339-4645-87e0-a9182b54f3bf,239,91,14,17933
8cc34b18-a854-456f-8f0e-9f20b0b1694d,124,13,0,9206
8d8600eb-c514-40bc-9b08-9f35e23c5993,48,33,183,3655
8db9ac09-def5-4c41-936d-d14ac6b162cd,697,370,462,34806
8f6f2b72-41e4-4d1d-aafe-bf2bcc2850ff,15,7,12,1099
9283a991-96c5-4da7-9617-db2a299e77de,808,52,167,52925
92cbe359-45e6-4b42-9770-12d9f097086c,162,70,323,8165
92ffd90a-c988-442c-8779-60fda1edf2f5,405,217,41,40363
