user_id,role,n_validation_received,n_received_agree,n_received_disagree,n_received_unsure,n_received_tie,n_received_curb_ramp,n_received_curb_ramp_agree,n_received_curb_ramp_disagree,n_received_curb_ramp_unsure,n_received_curb_ramp_tie,n_received_missing_curb_ramp,n_received_missing_curb_ramp_agree,n_received_missing_curb_ramp_disagree,n_received_missing_curb_ramp_unsure,n_received_missing_curb_ramp_tie,n_received_obstacle,n_received_obstacle_agree,n_received_obstacle_disagree,n_received_obstacle_unsure,n_received_obstacle_tie,n_received_surface_problem,n_received_surface_problem_agree,n_received_surface_problem_disagree,n_received_surface_problem_unsure,n_received_surface_problem_tie,n_validation_given,n_given_agree,n_given_disagree,n_given_unsure,n_given_curb_ramp,n_given_curb_ramp_agree,n_given_curb_ramp_disagree,n_given_curb_ramp_unsure,n_given_missing_curb_ramp,n_given_missing_curb_ramp_agree,n_given_missing_curb_ramp_disagree,n_given_missing_curb_ramp_unsure,n_given_obstacle,n_given_obstacle_agree,n_given_obstacle_disagree,n_given_obstacle_unsure,n_given_surface_problem,n_given_surface_problem_agree,n_given_surface_problem_disagree,n_given_surface_problem_unsure,n_audit_mission,n_validation_mission,high_quality_manual,meters_audited,n_label,n_label_with_tag,n_label_with_description,n_label_with_severity,label_severity_min,label_severity_max,label_severity_mean,label_severity_sd,n_curb_ramp,n_curb_ramp_with_tag,n_curb_ramp_with_description,n_curb_ramp_with_severity,curb_ramp_severity_min,curb_ramp_severity_max,curb_ramp_severity_mean,curb_ramp_severity_sd,n_missing_curb_ramp,n_missing_curb_ramp_with_tag,n_missing_curb_ramp_with_description,n_missing_curb_ramp_with_severity,missing_curb_ramp_severity_min,missing_curb_ramp_severity_max,missing_curb_ramp_severity_mean,missing_curb_ramp_severity_sd,n_obstacle,n_obstacle_with_tag,n_obstacle_with_description,n_obstacle_with_severity,obstacle_severity_min,obstacle_severity_max,obstacle_severity_mean,obstacle_severity_sd,n_surface_problem,n_surface_problem_with_tag,n_surface_problem_with_description,n_surface_problem_with_severity,surface_problem_severity_min,surface_problem_severity_max,surface_problem_severity_mean,surface_problem_severity_sd,n_no_sidewalk,n_no_sidewalk_with_tag,n_no_sidewalk_with_description,n_no_sidewalk_with_severity,no_sidewalk_severity_min,no_sidewalk_severity_max,no_sidewalk_severity_mean,no_sidewalk_severity_sd,tutorial_minutes,tutorial_error_count
01185ee9-be8e-4154-abf5-1d823b639756,Registered,121,83,26,7,5,58,31,19,4,4,24,21,1,1,1,10,7,2,1,0,29,24,4,1,0,250,203,11,36,70,62,3,5,90,70,5,15,0,0,0,0,90,71,3,16,22,25,,3008.6376342773438,142,54,0,142,1,4,2.3661971830985915,0.70939863893876974586,58,9,0,58,1,3,1.9310344827586207,0.49068762942147994133,24,0,0,24,2,4,2.5000000000000000,0.58976782461958853383,28,21,0,28,2,4,2.8214285714285714,0.66963624335358253718,32,24,0,32,2,4,2.6562500000000000,0.74528085201962405858,0,0,0,0,,,,,1.89,0
0232f5a5-79c5-491e-bd54-9b4577fbfe4a,Anonymous,11,7,2,0,2,5,4,1,0,0,3,0,1,0,2,1,1,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,152.39999389648438,12,8,0,11,1,5,3.6363636363636364,1.2862913567871995,5,4,0,5,1,3,2.6000000000000000,0.89442719099991587856,3,0,0,3,5,5,5.0000000000000000,0,1,1,0,1,4,4,4.0000000000000000,,2,2,0,1,3,3,3.0000000000000000,,1,1,0,1,5,5,5.0000000000000000,,2.19,0
028bda7f-202d-4860-b057-4fb3e2e3b0e4,Registered,145,119,17,8,1,61,45,11,4,1,52,45,4,3,0,10,8,2,0,0,22,21,0,1,0,260,229,31,0,100,82,18,0,90,86,4,0,10,9,1,0,60,52,8,0,36,26,,5019.056205749512,196,120,5,161,1,5,3.9565217391304348,1.0859778202555320,62,26,0,59,1,5,3.1355932203389831,1.1811395304103878,52,21,1,42,3,5,4.6666666666666667,0.52575922647885341359,43,38,4,34,3,5,4.0588235294117647,0.77620586423449176377,22,21,0,14,4,5,4.6428571428571429,0.49724515809884690395,17,14,0,12,4,5,4.4166666666666667,0.51492865054443722565,8.35,5
03fd95f8-f226-433b-b5cd-5323cd34f727,Registered,37,29,1,3,4,13,13,0,0,0,6,4,0,0,2,3,1,1,1,0,15,11,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,452.6395721435547,42,33,0,34,1,5,2.9411764705882353,1.1265709965815208,13,9,0,11,1,4,2.3636363636363636,1.0269106361049410,6,3,0,6,3,5,4.3333333333333333,1.0327955589886445,3,3,0,1,4,4,4.0000000000000000,,15,13,0,12,2,3,2.4166666666666667,0.51492865054443722565,5,5,0,4,3,4,3.7500000000000000,0.50000000000000000000,,
04966d94-c80c-4594-a4f1-1a4a5a5b9f11,Registered,37,28,6,3,0,6,6,0,0,0,12,11,1,0,0,10,3,4,3,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,454.4728546142578,71,69,0,65,1,5,3.5384615384615385,1.3119275308315800,6,6,0,6,2,4,2.8333333333333333,0.75277265270908099499,13,13,0,13,5,5,5.0000000000000000,0,26,26,0,26,1,5,2.5384615384615385,0.90468864172240963398,9,9,0,7,2,4,2.8571428571428571,0.69006555934235421780,5,5,0,3,4,5,4.6666666666666667,0.57735026918962576451,0.56,0
068b9623-722b-4b17-9c19-148ffdc1f3c1,Registered,129,98,25,2,4,55,43,10,1,1,35,26,8,0,1,11,7,4,0,0,28,22,3,1,2,510,459,43,8,160,149,10,1,190,173,11,6,20,17,3,0,140,120,19,1,42,51,,6019.982891082764,678,527,7,673,1,5,2.6567607726597325,1.3527483809890329,81,42,0,81,1,5,1.7901234567901235,0.95807162287999180389,61,21,2,61,1,5,3.8852459016393443,1.0661200785361485,452,388,2,450,1,5,2.5066666666666667,1.3014297431640258,61,55,1,58,1,5,3.2068965517241379,1.2248683522480193,20,20,0,20,3,5,4.1000000000000000,0.91190950612899142682,3.89,0
08434ab8-be13-42ee-8b46-85cb1345fd32,Registered,64,54,7,1,2,16,12,2,0,2,20,18,2,0,0,10,8,1,1,0,18,16,2,0,0,50,44,6,0,10,8,2,0,0,0,0,0,10,9,1,0,30,27,3,0,38,5,,5273.928842544556,143,142,1,141,2,5,4.0070921985815603,0.76993927312213785915,23,23,0,22,2,4,3.4545454545454545,0.67098170632026192108,23,23,0,23,3,5,4.5652173913043478,0.58976782461958853383,50,50,0,50,3,5,4.1200000000000000,0.79897894023483216600,32,32,0,31,2,5,3.8387096774193548,0.68783593942879465763,14,14,0,14,3,5,3.8571428571428571,0.53452248382484876937,4.17,7
08c178c6-120b-44c3-883d-65538e54b5a3,Registered,56,41,6,2,7,21,10,4,1,6,6,5,0,0,1,10,8,1,1,0,19,18,1,0,0,40,36,2,2,10,7,1,2,10,10,0,0,0,0,0,0,20,19,1,0,4,4,,549.8292846679688,80,60,3,78,2,5,3.0384615384615385,0.93200395312003297928,21,5,1,21,2,3,2.2857142857142857,0.46291004988627573078,6,6,0,6,2,4,3.6666666666666667,0.81649658092772603273,31,29,1,31,2,5,3.5161290322580645,0.88960544594913850572,19,18,0,17,2,4,2.6470588235294118,0.60633906259083243379,3,2,1,3,4,5,4.3333333333333333,0.57735026918962576451,4.85,4
093d8cfe-e2b3-4d65-9e0d-d4dc5e979963,Registered,37,31,1,5,0,7,7,0,0,0,4,4,0,0,0,16,10,1,5,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,304.79998779296875,65,60,1,56,2,5,4.0178571428571429,0.98148443100830097258,7,7,1,7,2,5,3.4285714285714286,1.2724180205607035,4,4,0,4,5,5,5.0000000000000000,0,29,29,0,26,3,5,4.0000000000000000,0.93808315196468591091,10,10,0,9,3,5,3.4444444444444444,0.72648315725677892537,10,10,0,10,3,5,4.6000000000000000,0.69920589878010103133,,
09edceb4-cdd3-41bf-afea-230518371efe,Registered,33,17,12,4,0,4,0,2,2,0,4,1,2,1,0,11,4,6,1,0,14,12,2,0,0,40,22,18,0,20,9,11,0,0,0,0,0,10,10,0,0,10,3,7,0,15,4,,1998.7186794281006,67,62,2,66,1,5,2.6818181818181818,1.7021171514331195,4,0,1,4,1,5,2.2500000000000000,1.8929694486000912,4,4,0,4,1,5,4.0000000000000000,2.0000000000000000,38,37,1,38,1,5,2.5263157894736842,1.6560591794044983,18,18,0,17,1,5,2.4117647058823529,1.5434872662825795,2,2,0,2,5,5,5.0000000000000000,0,4.27,2
