user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
008cbd61-d08c-48e0-8356-660b5c4b12c1,42,12,0,9698
01fe3ecb-5bc5-47f4-806d-fe48e18bd4ff,50,11,40,4626
05c6f609-a19c-4f33-9f4d-e2d4b7e54408,109,35,65,3920
05d6344a-3dc3-48f1-8e42-8d2cfb164113,37,9,69,3850
11d5f59b-fb63-4766-952e-5c006b081f05,37,10,32,3361
12ed97a6-ec08-4ee2-b262-bf48262d7774,252,40,5,14995
13a05897-bdb4-4d22-9290-63f9fe50db1a,197,29,57,13077
20429048-1c1d-4cb1-95bf-e39fa4c59572,80,27,171,6791
2b9bff06-d178-4a81-89b6-d95540af82e4,20,12,111,441
37ad0a81-a0ba-4d68-88e2-20cf3a8ba123,18,6,4,1758
3abde365-76c6-4eec-bcba-01fab91f6217,36,14,27,1819
3ca93bc2-09a8-41ac-96c1-4ada72269b1f,1779,393,724,84291
3e25ea1d-f762-421a-b98b-3cba36e1bbfb,42,11,210,4352
3f2b07bd-c043-4979-8b8b-ca57c3a50e49,53,10,227,5799
41adc1f7-d250-4cd2-b2b0-2628e7da5fc9,40,24,1,5332
438c0967-510c-4d68-b323-2c20b2c2ad36,79,42,142,3808
4a68735c-6f21-49d2-b074-0c8dbecc4eca,36,14,265,8000
4d0dc67b-0d9c-43bc-b815-a9f1b53b0c6c,154,28,12,9368
4eb91055-3994-4946-91be-375dd84b1054,93,11,17,5070
4f815d2d-9796-4d3d-908a-4acccf39df35,519,60,104,36394
526e171f-77e7-4770-ab2d-50ff0f18e835,178,26,26,6323
54b06865-030a-4c01-9589-d1be87bbe589,276,103,16,8126
6151ae75-6aa5-41f2-9e4f-d7480de7a058,144,26,13,6017
6166b340-cc09-40e8-bf92-02c08d1ba094,144,33,10,14306
68812d12-2f25-426b-9edc-ee7449c625db,50,10,60,3026
6ab0ea11-9cd2-492f-b750-2e83aa140f29,82,25,29,4877
6b27cdbf-31cb-4354-bea2-4dbf3b6e7a7b,61,7,55,2843
6c19dbce-e6da-4889-b90f-51c4ce2443cc,52,7,4,1176
72a5b5f8-a0b0-44d4-921e-6f6f0542e3ec,43,12,0,4998
732ce1a4-466c-4138-a7f8-9fa8e5af2da8,13,3,0,2390
74854895-0966-4df2-86a2-413bec7225fd,37,10,9,2661
74d34b28-1e9b-4c7b-aee2-2cf89e9e266f,24,6,113,1917
75f203d2-544f-4b2d-9d49-d257b0246b50,52,14,26,4519
814f4169-98a1-4afa-80da-3b46be1da405,721,259,1131,26116
81cebbb1-343f-446e-b5cb-5efdf48363d6,216,42,0,19197
82b8e2ec-e7f0-4106-a642-cc7f49855af7,199,23,6,13569
8a6334f8-1ebe-451b-a74e-d5f98a85418c,87,31,14,13464
8ad91458-8a3d-4604-84bb-72aab652940d,62,17,3,3544
94e81be1-7763-4dbd-9a30-eb50b19d657b,75,20,12,6868
952ae94a-4371-4eab-9f55-11d09899d210,896,180,663,36774
973046bf-cbaf-4ba6-84b4-5611a9a961cd,348,48,31,21016
97f8fc95-f287-4e5e-a3b2-dd0fd82c11e5,522,24,87,34739
98053cdf-bf76-4294-91bb-4acc128827a2,60,17,55,3530
9cbf022a-1c7a-45ab-8eb4-ba4080ed97a3,2837,713,79,67606
9eff1ebb-c702-4ac9-b580-b3897e2b8ec8,144,60,610,12314
9fa69d20-d5ab-45ab-80f0-ffb88009b5a5,22,10,0,1644
a0f260db-6570-4ab6-94dc-416c358503b5,30,9,6,3825
a14eead9-c761-4086-ae93-a3dab5d72f7f,43,15,16,3537
a1eb95bb-49f8-4d96-8e20-2e247395be55,20,12,83,4668
a64157bb-58a6-4f21-996a-bec599165167,265,44,257,11509
b53fe4a3-87e6-4696-a5d8-a73aeeeed2b8,31,7,35,4044
b72d8e62-de6e-4fb0-8893-f458fe7fdcbf,2429,548,3624,109005
