user_id,role,n_validation_received,n_received_agree,n_received_disagree,n_received_unsure,n_received_tie,n_received_curb_ramp,n_received_curb_ramp_agree,n_received_curb_ramp_disagree,n_received_curb_ramp_unsure,n_received_curb_ramp_tie,n_received_missing_curb_ramp,n_received_missing_curb_ramp_agree,n_received_missing_curb_ramp_disagree,n_received_missing_curb_ramp_unsure,n_received_missing_curb_ramp_tie,n_received_obstacle,n_received_obstacle_agree,n_received_obstacle_disagree,n_received_obstacle_unsure,n_received_obstacle_tie,n_received_surface_problem,n_received_surface_problem_agree,n_received_surface_problem_disagree,n_received_surface_problem_unsure,n_received_surface_problem_tie,n_validation_given,n_given_agree,n_given_disagree,n_given_unsure,n_given_curb_ramp,n_given_curb_ramp_agree,n_given_curb_ramp_disagree,n_given_curb_ramp_unsure,n_given_missing_curb_ramp,n_given_missing_curb_ramp_agree,n_given_missing_curb_ramp_disagree,n_given_missing_curb_ramp_unsure,n_given_obstacle,n_given_obstacle_agree,n_given_obstacle_disagree,n_given_obstacle_unsure,n_given_surface_problem,n_given_surface_problem_agree,n_given_surface_problem_disagree,n_given_surface_problem_unsure,n_audit_mission,n_validation_mission,high_quality_manual,meters_audited,n_label,n_label_with_tag,n_label_with_description,n_label_with_severity,label_severity_min,label_severity_max,label_severity_mean,label_severity_sd,n_curb_ramp,n_curb_ramp_with_tag,n_curb_ramp_with_description,n_curb_ramp_with_severity,curb_ramp_severity_min,curb_ramp_severity_max,curb_ramp_severity_mean,curb_ramp_severity_sd,n_missing_curb_ramp,n_missing_curb_ramp_with_tag,n_missing_curb_ramp_with_description,n_missing_curb_ramp_with_severity,missing_curb_ramp_severity_min,missing_curb_ramp_severity_max,missing_curb_ramp_severity_mean,missing_curb_ramp_severity_sd,n_obstacle,n_obstacle_with_tag,n_obstacle_with_description,n_obstacle_with_severity,obstacle_severity_min,obstacle_severity_max,obstacle_severity_mean,obstacle_severity_sd,n_surface_problem,n_surface_problem_with_tag,n_surface_problem_with_description,n_surface_problem_with_severity,surface_problem_severity_min,surface_problem_severity_max,surface_problem_severity_mean,surface_problem_severity_sd,n_no_sidewalk,n_no_sidewalk_with_tag,n_no_sidewalk_with_description,n_no_sidewalk_with_severity,no_sidewalk_severity_min,no_sidewalk_severity_max,no_sidewalk_severity_mean,no_sidewalk_severity_sd,tutorial_minutes,tutorial_error_count
008cbd61-d08c-48e0-8356-660b5c4b12c1,Registered,18,13,3,0,2,4,3,1,0,0,5,3,0,0,2,4,4,0,0,0,5,3,2,0,0,30,19,9,2,0,0,0,0,10,9,0,1,10,5,5,0,10,5,4,1,3,3,,304.79998779296875,18,18,0,15,2,4,3.2666666666666667,0.79880863671798021893,4,4,0,4,2,3,2.7500000000000000,0.50000000000000000000,5,5,0,5,3,4,3.8000000000000000,0.44721359549995793928,4,4,0,2,2,3,2.5000000000000000,0.70710678118654752440,5,5,0,4,2,4,3.5000000000000000,1.00000000000000000000,0,0,0,0,,,,,4.56,2
01fe3ecb-5bc5-47f4-806d-fe48e18bd4ff,Registered,20,16,4,0,0,17,13,4,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,20,13,7,0,0,0,0,0,20,13,7,0,0,0,0,0,0,0,0,0,3,2,,299.4443588256836,21,0,0,21,1,5,2.2380952380952381,1.3749458863810570,18,0,0,18,1,5,1.8888888888888889,1.0786096109392209,1,0,0,1,5,5,5.0000000000000000,,0,0,0,0,,,,,2,0,0,2,3,5,4.0000000000000000,1.4142135623730950,0,0,0,0,,,,,5.82,2
05c6f609-a19c-4f33-9f4d-e2d4b7e54408,Registered,61,44,13,2,2,39,30,6,2,1,3,1,2,0,0,5,4,1,0,0,14,9,4,0,1,75,39,22,14,20,19,0,1,30,7,15,8,5,1,3,1,20,12,4,4,7,7,,914.3999633789062,77,64,2,76,1,5,1.8815789473684211,1.1071537714717909,44,36,0,44,1,3,1.3863636363636364,0.57933037089982988470,3,2,0,3,3,3,3.0000000000000000,0,6,5,1,6,1,3,2.5000000000000000,0.83666002653407554798,14,14,0,14,1,3,1.7857142857142857,0.69929320675306793015,8,7,0,8,2,5,4.0000000000000000,1.4142135623730950,2.17,2
05d6344a-3dc3-48f1-8e42-8d2cfb164113,Registered,25,24,1,0,0,23,22,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,50,36,11,3,10,9,1,0,10,7,3,0,10,9,1,0,20,11,6,3,3,5,,304.79998779296875,27,12,0,25,1,4,1.4800000000000000,0.82259751195020439757,25,10,0,23,1,3,1.3478260869565217,0.64728072118348332334,0,0,0,0,,,,,0,0,0,0,,,,,2,2,0,2,2,4,3.0000000000000000,1.4142135623730950,0,0,0,0,,,,,7.35,5
11d5f59b-fb63-4766-952e-5c006b081f05,Registered,21,10,8,0,3,14,9,4,0,1,0,0,0,0,0,0,0,0,0,0,7,1,4,0,2,10,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,3,1,,304.79998779296875,24,11,2,23,2,5,3.0434782608695652,0.92825647266872499800,14,4,0,14,2,4,2.5714285714285714,0.75592894601845445443,0,0,0,0,,,,,0,0,0,0,,,,,7,6,0,6,3,4,3.6666666666666667,0.51639777949432225136,1,1,0,1,5,5,5.0000000000000000,,3.28,1
12ed97a6-ec08-4ee2-b262-bf48262d7774,Registered,39,25,11,3,0,5,5,0,0,0,3,1,2,0,0,15,8,5,2,0,16,11,4,1,0,80,66,8,6,0,0,0,0,20,15,3,2,10,10,0,0,50,41,5,4,15,8,,1981.1999206542969,55,53,0,17,3,5,3.5882352941176471,0.87026027208902888551,5,5,0,1,3,3,3.0000000000000000,,3,1,0,2,3,4,3.5000000000000000,0.70710678118654752440,15,15,0,4,3,5,4.0000000000000000,1.1547005383792515,16,16,0,7,3,5,3.2857142857142857,0.75592894601845445443,16,16,0,3,3,5,4.0000000000000000,1.00000000000000000000,2.42,0
13a05897-bdb4-4d22-9290-63f9fe50db1a,Registered,55,49,5,1,0,55,49,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,5,0,20,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,,1410.107925415039,70,52,0,65,1,4,1.6307692307692308,0.83981453996609366781,70,52,0,65,1,4,1.6307692307692308,0.83981453996609366781,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,3.47,3
20429048-1c1d-4cb1-95bf-e39fa4c59572,Registered,44,39,4,0,1,6,4,2,0,0,0,0,0,0,0,6,6,0,0,0,32,29,2,0,1,20,9,9,2,0,0,0,0,10,2,6,2,0,0,0,0,10,7,3,0,6,2,,838.1999664306641,45,38,7,42,2,5,3.2619047619047619,0.58682792631121639199,6,5,1,6,3,3,3.0000000000000000,0,0,0,0,0,,,,,6,2,4,4,3,3,3.0000000000000000,0,32,31,2,32,2,5,3.3437500000000000,0.65300175369027964438,0,0,0,0,,,,,,
2b9bff06-d178-4a81-89b6-d95540af82e4,Registered,18,13,3,1,1,1,1,0,0,0,1,0,1,0,0,8,6,1,1,0,8,6,1,0,1,20,17,3,0,0,0,0,0,10,9,1,0,0,0,0,0,10,8,2,0,2,2,,152.39999389648438,20,20,0,20,1,5,2.6500000000000000,1.4244112357114615,1,1,0,1,1,1,1.00000000000000000000,,1,1,0,1,1,1,1.00000000000000000000,,8,8,0,8,1,5,2.7500000000000000,1.2817398889233115,8,8,0,8,1,5,2.8750000000000000,1.3562026818605375,2,2,0,2,1,5,3.0000000000000000,2.8284271247461901,1.82,1
37ad0a81-a0ba-4d68-88e2-20cf3a8ba123,Registered,32,17,12,2,1,22,16,4,2,0,10,1,8,0,1,0,0,0,0,0,0,0,0,0,0,10,9,1,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,f,152.39999389648438,41,9,0,39,1,5,1.8461538461538462,1.3676422573646789,30,1,0,29,1,5,1.2413793103448276,0.78627387148831397174,10,7,0,9,2,5,3.5555555555555556,1.2360330811826105,0,0,0,0,,,,,0,0,0,0,,,,,1,1,0,1,4,4,4.0000000000000000,,2.72,1
