user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
058ca740-44c0-42ca-b90a-1b731a81a8bc,111,31,138,4467
096c0650-840b-4992-9bc1-12577fb68c8b,247,61,135,25902
0998cbf4-0fae-4acb-9621-c2a3f534403b,50,19,50,4037
11e3b478-1cb7-4f2a-b801-06247109286c,462,114,851,50381
151b2aca-6de5-483f-af90-0de10449060a,268,82,482,34013
15323f59-7373-4b82-843c-e80bab81a46b,72,17,89,7661
206babc6-f877-450f-8eb7-d8bee3146702,17,6,0,5598
240d87e8-927b-4d26-ad67-3c1408e2e705,44,14,18,8746
24b9c945-08fe-4392-84a3-1066a5b633bc,38,17,22,2458
29576e78-7d11-46a2-902e-51b7a0faeefb,257,117,275,23556
2d2a4eba-68a4-46d7-a583-6a6b7e44e897,61,12,4,5879
33fa5c91-b1a3-4c11-985d-d336a2612394,29,11,2,2267
3a384884-1f7e-4d76-879a-eff0afa0beaf,198,11,2,10262
3c38ea4c-4b67-42be-84a3-327c277ac200,21,14,1,5942
3e89bdad-1bf0-45db-81fb-05c90ab2c415,35,25,13,6277
41ff3013-b756-4bc8-9c74-dcfa74e64659,47,27,2,9575
44045ecf-fbc9-4029-ace6-3bb81de77ffb,156,31,74,10479
44e1889b-6087-4570-b51d-9561c9607978,135,41,213,14396
47ad265f-32ed-4f13-917e-eae097d5163b,16,13,156,9846
490a568a-16ef-4b83-ba96-9ab728aa8f4c,110,90,3,7875
4e8e59ae-b749-4a27-9283-05d9e0d49434,87,48,356,10949
4f9a7612-2dac-439a-8ea4-46eec3a713db,61,20,130,12179
5150f238-8f9f-46ff-bf30-61651e05d8ae,220,56,47,25386
56d5a77f-a7fb-412f-a476-d0208dd192ff,60,25,7,9221
5d006efa-ee1c-46dd-9606-ad59c6573fad,1196,315,866,72410
64bb524f-44be-4cff-8c96-3b213dec90be,253,61,287,5107
6839fe6f-d004-4c0a-81cc-bbf894915516,20,11,41,4496
69aac628-a9d7-4f61-9a76-6ce500528988,42,20,0,4276
6afbac7c-ea50-447f-90a5-5e6aa27dc36f,50,11,35,7947
6bbb08e6-ee17-4c81-af92-4e5340619912,86,27,4,12340
6bd00064-d2d5-4074-b725-a6187ba2d060,18,4,4,5042
6cdf9d2c-61f7-4023-9d4f-5a558a5fe932,1214,604,2669,91566
70cd239b-0c28-49a1-b70a-936f07cbf2ba,53,16,22,8310
76ca7c57-1779-4c7c-85e9-e27e6c30a42d,43,28,210,9228
796cd84e-c15f-491d-8d8c-6ecd0ba103e5,17,7,50,1347
7a1e584f-b1dc-41a7-9144-1ce00003910f,1329,239,1308,59242
7aaa7b7e-d72c-4cf0-9889-7c2d2299c49b,111,68,1654,7872
7ab6a882-345b-4a1b-a132-75f74a9ec31e,91,31,94,10375
7b8c03f9-5d23-49c1-8e8f-f2e862193b23,531,312,13,66094
7c811136-cc78-46c2-8bc6-1f87fc071908,219,54,245,20533
81a0e14d-720a-4828-8cd1-dfe548a04eb2,157,76,266,17601
8344c302-084d-4ec0-a5d9-cccc54fe4292,29,17,33,2473
8689d0d3-0dbc-4fe5-b3be-25e31d7dc4c7,1061,202,2519,54137
8ec6402e-cc6e-4e4e-b652-21c579d5ce93,91,19,0,9369
8f1deba6-6c49-4660-b11c-80c0ea2abcd8,67,39,210,9156
90e82ba3-04d6-4ad0-be76-3fcdd8f11f1b,122,37,78,12879
91a21738-b75d-4d8d-992b-95f64b0b1831,44,19,587,8771
