user_id,role,n_validation_received,n_received_agree,n_received_disagree,n_received_unsure,n_received_tie,n_received_curb_ramp,n_received_curb_ramp_agree,n_received_curb_ramp_disagree,n_received_curb_ramp_unsure,n_received_curb_ramp_tie,n_received_missing_curb_ramp,n_received_missing_curb_ramp_agree,n_received_missing_curb_ramp_disagree,n_received_missing_curb_ramp_unsure,n_received_missing_curb_ramp_tie,n_received_obstacle,n_received_obstacle_agree,n_received_obstacle_disagree,n_received_obstacle_unsure,n_received_obstacle_tie,n_received_surface_problem,n_received_surface_problem_agree,n_received_surface_problem_disagree,n_received_surface_problem_unsure,n_received_surface_problem_tie,n_validation_given,n_given_agree,n_given_disagree,n_given_unsure,n_given_curb_ramp,n_given_curb_ramp_agree,n_given_curb_ramp_disagree,n_given_curb_ramp_unsure,n_given_missing_curb_ramp,n_given_missing_curb_ramp_agree,n_given_missing_curb_ramp_disagree,n_given_missing_curb_ramp_unsure,n_given_obstacle,n_given_obstacle_agree,n_given_obstacle_disagree,n_given_obstacle_unsure,n_given_surface_problem,n_given_surface_problem_agree,n_given_surface_problem_disagree,n_given_surface_problem_unsure,n_audit_mission,n_validation_mission,high_quality_manual,meters_audited,n_label,n_label_with_tag,n_label_with_description,n_label_with_severity,label_severity_min,label_severity_max,label_severity_mean,label_severity_sd,n_curb_ramp,n_curb_ramp_with_tag,n_curb_ramp_with_description,n_curb_ramp_with_severity,curb_ramp_severity_min,curb_ramp_severity_max,curb_ramp_severity_mean,curb_ramp_severity_sd,n_missing_curb_ramp,n_missing_curb_ramp_with_tag,n_missing_curb_ramp_with_description,n_missing_curb_ramp_with_severity,missing_curb_ramp_severity_min,missing_curb_ramp_severity_max,missing_curb_ramp_severity_mean,missing_curb_ramp_severity_sd,n_obstacle,n_obstacle_with_tag,n_obstacle_with_description,n_obstacle_with_severity,obstacle_severity_min,obstacle_severity_max,obstacle_severity_mean,obstacle_severity_sd,n_surface_problem,n_surface_problem_with_tag,n_surface_problem_with_description,n_surface_problem_with_severity,surface_problem_severity_min,surface_problem_severity_max,surface_problem_severity_mean,surface_problem_severity_sd,n_no_sidewalk,n_no_sidewalk_with_tag,n_no_sidewalk_with_description,n_no_sidewalk_with_severity,no_sidewalk_severity_min,no_sidewalk_severity_max,no_sidewalk_severity_mean,no_sidewalk_severity_sd,tutorial_minutes,tutorial_error_count
058ca740-44c0-42ca-b90a-1b731a81a8bc,Registered,26,25,0,1,0,21,21,0,0,0,3,3,0,0,0,0,0,0,0,0,2,1,0,1,0,30,23,7,0,10,10,0,0,10,8,2,0,10,5,5,0,0,0,0,0,4,3,,849.8752593994141,45,16,1,43,2,5,2.6976744186046512,1.2823877231263754,33,10,0,33,2,2,2.0000000000000000,0,3,2,0,2,5,5,5.0000000000000000,0,0,0,0,0,,,,,2,2,0,1,5,5,5.0000000000000000,,6,2,0,6,5,5,5.0000000000000000,0,,
096c0650-840b-4992-9bc1-12577fb68c8b,Registered,68,52,11,1,4,23,21,2,0,0,10,2,5,0,3,25,21,3,1,0,10,8,1,0,1,20,8,11,1,0,0,0,0,10,5,4,1,10,3,7,0,0,0,0,0,7,2,,1951.9860534667969,116,73,6,109,1,5,3.0733944954128440,1.5135586103638194,55,13,5,54,1,3,1.8148148148148148,0.80268591743005626069,10,10,0,9,2,5,3.4444444444444444,1.1303883305208780,39,38,1,35,3,5,4.4857142857142857,0.74246919410954733043,10,10,0,9,3,5,4.3333333333333333,0.86602540378443864676,2,2,0,2,5,5,5.0000000000000000,0,23.64,0
0998cbf4-0fae-4acb-9621-c2a3f534403b,Anonymous,31,28,0,2,1,24,24,0,0,0,0,0,0,0,0,7,4,0,2,1,0,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,10,9,1,0,0,0,0,0,2,1,,460.9311218261719,45,6,1,44,1,5,1.5227272727272727,1.0227331453907031,38,3,0,38,1,3,1.2105263157894737,0.57693948986391815744,0,0,0,0,,,,,7,3,1,6,2,5,3.5000000000000000,1.0488088481701515,0,0,0,0,,,,,0,0,0,0,,,,,,
0a0340d7-bd95-4d95-9abd-9b5d896be2be,Anonymous,19,15,3,0,1,10,9,1,0,0,5,2,2,0,1,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,761.9999694824219,65,40,0,62,1,5,3.3064516129032258,1.7138654391526617,21,2,0,21,1,2,1.3333333333333333,0.48304589153964795245,5,4,0,5,1,5,2.6000000000000000,1.8165902124584950,1,1,0,1,4,4,4.0000000000000000,,3,3,0,3,3,5,4.3333333333333333,1.1547005383792515,35,30,0,32,3,5,4.5937500000000000,0.75602419316127793499,2.06,2
0a60b1ca-59a2-4a35-99f5-651a29e479f3,Anonymous,64,50,11,2,1,46,43,1,2,0,9,1,7,0,1,2,2,0,0,0,7,4,3,0,0,30,18,7,5,10,10,0,0,10,1,7,2,0,0,0,0,10,7,0,3,16,3,,2317.9922409057617,154,79,10,139,1,5,2.1510791366906475,1.0761826596263335,122,59,9,120,1,4,1.8916666666666667,0.85794197109729287521,9,1,0,9,4,5,4.1111111111111111,0.33333333333333333333,2,2,0,2,3,4,3.5000000000000000,0.70710678118654752440,7,6,0,7,2,5,3.2857142857142857,1.1126972805283736,13,11,0,0,,,,,,
0d450318-cec7-403e-b5d1-05cefaeaecd8,Registered,69,58,9,1,1,24,22,1,1,0,7,3,3,0,1,15,10,5,0,0,23,23,0,0,0,351,263,85,3,90,77,13,0,110,57,50,3,60,41,19,0,91,88,3,0,39,35,,5403.673587143421,390,233,1,374,1,5,2.0133689839572193,1.1588720075891745,196,45,0,189,1,4,1.2275132275132275,0.53204208768553552166,7,3,0,6,1,3,2.0000000000000000,0.63245553203367586640,49,47,1,48,1,5,3.1875000000000000,1.1967375865509656,70,70,0,67,1,5,2.2686567164179104,1.1225254205428099,68,68,0,64,2,5,3.1875000000000000,0.55990361982404033397,5.15,2
11e3b478-1cb7-4f2a-b801-06247109286c,Registered,93,78,7,6,2,58,51,5,2,0,2,2,0,0,0,13,10,1,2,0,20,15,1,2,2,173,112,49,12,30,30,0,0,93,41,44,8,0,0,0,0,50,41,5,4,17,17,,4773.285369873047,233,52,18,222,1,5,1.5630630630630631,0.94800843190094099127,182,29,6,179,1,4,1.2122905027932961,0.52964351427414565008,2,0,0,2,2,4,3.0000000000000000,1.4142135623730950,22,17,7,19,2,5,2.7368421052631579,0.93345863820512480266,20,4,2,18,2,4,3.2777777777777778,0.89479248698859884318,6,2,2,3,3,4,3.3333333333333333,0.57735026918962576451,9.60,1
139cbb5f-a6d6-4d1b-bdb5-3829cd5ddd9a,Registered,15,14,1,0,0,12,12,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,40,33,5,2,20,19,1,0,0,0,0,0,10,7,2,1,10,7,2,1,2,4,,152.39999389648438,20,8,0,19,1,3,1.4736842105263158,0.69669226847946599521,16,4,0,15,1,2,1.2000000000000000,0.41403933560541253068,0,0,0,0,,,,,4,4,0,4,2,3,2.5000000000000000,0.57735026918962576451,0,0,0,0,,,,,0,0,0,0,,,,,4.90,0
151b2aca-6de5-483f-af90-0de10449060a,Registered,67,58,7,2,0,54,50,3,1,0,7,3,3,1,0,3,2,1,0,0,3,3,0,0,0,11,11,0,0,10,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,1,,3023.438220977783,172,93,4,167,1,5,2.0179640718562874,1.1692498567958240,142,73,0,140,1,4,1.6357142857142857,0.67013060346004996468,7,7,0,7,3,5,3.2857142857142857,0.75592894601845445443,3,1,2,3,1,3,2.0000000000000000,1.00000000000000000000,3,1,2,2,3,3,3.0000000000000000,0,17,11,0,15,3,5,4.8666666666666667,0.51639777949432225136,10.50,2
15323f59-7373-4b82-843c-e80bab81a46b,Registered,25,24,1,0,0,22,21,1,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,284,256,28,0,120,120,0,0,84,65,19,0,0,0,0,0,80,71,9,0,3,28,,539.8002014160156,45,6,0,45,1,3,1.2888888888888889,0.62603449738747777668,42,3,0,42,1,3,1.1666666666666667,0.43710057260212516343,0,0,0,0,,,,,1,1,0,1,3,3,3.0000000000000000,,2,2,0,2,3,3,3.0000000000000000,0,0,0,0,0,,,,,6.05,0
