user_id,city,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
04a5aab0-82ac-44a4-8a23-47b27d129336,pittsburgh,158,101,770,17743
06dcb7c3-b401-4602-b82d-73f4254d303a,pittsburgh,128,49,49,12150
08a16a7a-a1a0-478b-b3c4-2e351327fc10,pittsburgh,127,115,72,12403
09dbf533-30f3-4aac-b550-77654f8de0d3,pittsburgh,169,39,57,12793
0a9745e1-a0cb-4fa1-9fbf-aeb71fa83696,pittsburgh,145,49,3,11556
0e07e366-b7f6-451a-a720-547cd1334d7b,pittsburgh,143,86,68,18416
186f987a-4edb-485d-954e-aaf1f9b6f6d8,pittsburgh,93,24,41,4934
29667728-f533-4d81-847b-336ed088b484,pittsburgh,140,32,147,9370
2a173636-c664-42e3-ba9b-4d6ef869d092,pittsburgh,163,50,13,10925
2b4822b9-cb6d-45b7-aaa3-582bcd9bb13f,pittsburgh,131,35,25,3261
2c3be2fd-fd9c-4f68-8a1e-235f062943b9,pittsburgh,5852,1583,25562,402451
34f3faf8-ea08-4e7e-81db-e48138a14044,pittsburgh,131,39,55,7059
38437285-0582-4536-9041-348328923c50,pittsburgh,185,25,54,7373
3a0e42f3-0823-40d4-89cf-7f3181d28d3a,pittsburgh,145,52,126,11762
3a6d350f-ffbe-4c39-be72-a44568688ae0,pittsburgh,154,76,170,10009
4cf0e199-7d46-4869-9387-5a87e5a5f5a3,pittsburgh,163,42,81,16347
4dd557db-39a6-400e-8016-cd9a0f4b1f49,pittsburgh,390,129,50,31192
5b74b57a-5358-4553-8811-9c7c0084d9a1,pittsburgh,2111,354,94,187436
5c3dd091-aee0-4b24-9ebd-a1e1920eeb0b,pittsburgh,1056,349,2440,28314
5f7cc7dc-6403-426c-8ac2-c7cf28264e18,pittsburgh,183,115,94,24238
690c8995-b14f-4548-8a0c-dc71adf305f1,pittsburgh,82,40,41,15796
7a4096ca-5e0f-4f7d-a0ec-55ae1c66829d,pittsburgh,66,48,0,7664
7bed96bf-e288-491f-989c-47b1fc6854d1,pittsburgh,128,43,18,9204
7c9fbdb0-0969-4e13-b47a-1628a17bd808,pittsburgh,127,86,65,6197
7fc6d012-f7df-4896-845d-4459a4c42e27,pittsburgh,87,63,38,13843
8859e472-8f5e-408b-a1c9-b60e62a111c5,pittsburgh,166,72,1,20189
8a82c68e-113e-48f2-9e28-1398dcc21a05,pittsburgh,234,32,162,4293
90df79df-4887-49ef-9d0d-6594e4ca5362,pittsburgh,140,63,57,26915
940bd1c9-1c18-4637-ae30-1783e367581c,pittsburgh,134,66,55,8915
9905f9d0-8ef1-4806-85c9-5d386fc9bf90,pittsburgh,40,17,1,4418
a0ebf563-d9e8-419e-bb6f-9da749440ffd,pittsburgh,149,35,1,13733
a66a5479-2c7e-4f1c-8a26-8a01db1bdd10,pittsburgh,116,10,58,1740
a66df9a4-8323-4dbd-9854-bec0ce00e092,pittsburgh,150,70,47,14086
a7c50ecd-2911-40ce-97eb-02ff5498fcc8,pittsburgh,130,29,351,4464
a9fd443b-7e9b-4303-8bf9-71206ccd7791,pittsburgh,83,29,62,6612
ae6b1b5f-bf3a-4be0-bc3e-5c19e703630b,pittsburgh,154,100,73,15091
c1b29061-ed54-4f0d-9411-085fc3bf3dd6,pittsburgh,101,50,5,10121
c8609cb4-0332-4b5f-987b-ce127ee425f4,pittsburgh,1356,950,3742,92243
cccb5520-b990-4b0f-8996-c9a68a7a9212,pittsburgh,151,107,1,23424
cd46944a-fbec-41d3-aaa5-c2bb796243fe,pittsburgh,78,48,73,13245
d08d0dfb-523f-4b81-a49d-6600ad9f6269,pittsburgh,1425,601,6026,79155
d4215e97-2b6e-4fe0-8ca3-8815039eca50,pittsburgh,161,100,61,31923
d7560bf6-96ed-47c7-9d56-2828290ce6bd,pittsburgh,81,23,91,7084
d7e22f77-addd-49bc-8674-0662cb8ebc45,pittsburgh,176,81,368,17908
de80ea16-691a-4aaf-88b6-2e11afb05b1f,pittsburgh,252,82,62,10818
e67fcb6a-7d15-401b-a25c-67469b5c1c57,pittsburgh,323,168,1995,41167
eb174bd1-51c6-4af3-82a0-5f4d269b4d17,pittsburgh,142,46,309,11241
f4476b3d-42ac-4920-9beb-99de7ca13158,pittsburgh,83,53,39,12459
f543caa2-66b9-40d8-b13b-8dd4d18269c9,pittsburgh,144,88,94,17300
008cbd61-d08c-48e0-8356-660b5c4b12c1,chicago,42,12,0,9698
01fe3ecb-5bc5-47f4-806d-fe48e18bd4ff,chicago,50,11,40,4626
05c6f609-a19c-4f33-9f4d-e2d4b7e54408,chicago,109,35,65,3920
05d6344a-3dc3-48f1-8e42-8d2cfb164113,chicago,37,9,69,3850
11d5f59b-fb63-4766-952e-5c006b081f05,chicago,37,10,32,3361
12ed97a6-ec08-4ee2-b262-bf48262d7774,chicago,252,40,5,14995
13a05897-bdb4-4d22-9290-63f9fe50db1a,chicago,197,29,57,13077
20429048-1c1d-4cb1-95bf-e39fa4c59572,chicago,80,27,171,6791
2b9bff06-d178-4a81-89b6-d95540af82e4,chicago,20,12,111,441
37ad0a81-a0ba-4d68-88e2-20cf3a8ba123,chicago,18,6,4,1758
3abde365-76c6-4eec-bcba-01fab91f6217,chicago,36,14,27,1819
3ca93bc2-09a8-41ac-96c1-4ada72269b1f,chicago,1791,397,738,86044
3e25ea1d-f762-421a-b98b-3cba36e1bbfb,chicago,42,11,210,4352
3f2b07bd-c043-4979-8b8b-ca57c3a50e49,chicago,53,10,227,5799
41adc1f7-d250-4cd2-b2b0-2628e7da5fc9,chicago,40,24,1,5332
438c0967-510c-4d68-b323-2c20b2c2ad36,chicago,79,42,142,3808
4a68735c-6f21-49d2-b074-0c8dbecc4eca,chicago,36,14,265,8000
4d0dc67b-0d9c-43bc-b815-a9f1b53b0c6c,chicago,154,28,12,9368
4eb91055-3994-4946-91be-375dd84b1054,chicago,93,11,17,5070
4f815d2d-9796-4d3d-908a-4acccf39df35,chicago,519,60,104,36394
526e171f-77e7-4770-ab2d-50ff0f18e835,chicago,178,26,26,6323
54b06865-030a-4c01-9589-d1be87bbe589,chicago,276,103,16,8126
6151ae75-6aa5-41f2-9e4f-d7480de7a058,chicago,144,26,13,6017
6166b340-cc09-40e8-bf92-02c08d1ba094,chicago,144,33,10,14306
68812d12-2f25-426b-9edc-ee7449c625db,chicago,50,10,60,3026
6ab0ea11-9cd2-492f-b750-2e83aa140f29,chicago,82,25,29,4877
