user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
04a5aab0-82ac-44a4-8a23-47b27d129336,158,101,770,17743
06dcb7c3-b401-4602-b82d-73f4254d303a,128,49,49,12150
08a16a7a-a1a0-478b-b3c4-2e351327fc10,127,115,72,12403
09dbf533-30f3-4aac-b550-77654f8de0d3,169,39,57,12793
0a9745e1-a0cb-4fa1-9fbf-aeb71fa83696,145,49,3,11556
0e07e366-b7f6-451a-a720-547cd1334d7b,143,86,68,18416
29667728-f533-4d81-847b-336ed088b484,140,32,147,9370
2a173636-c664-42e3-ba9b-4d6ef869d092,163,50,13,10925
2c3be2fd-fd9c-4f68-8a1e-235f062943b9,5852,1583,25562,402451
34f3faf8-ea08-4e7e-81db-e48138a14044,131,39,55,7059
38437285-0582-4536-9041-348328923c50,185,25,54,7373
3a0e42f3-0823-40d4-89cf-7f3181d28d3a,145,52,126,11762
3a6d350f-ffbe-4c39-be72-a44568688ae0,154,76,170,10009
4cf0e199-7d46-4869-9387-5a87e5a5f5a3,163,42,81,16347
4dd557db-39a6-400e-8016-cd9a0f4b1f49,390,129,50,31192
5b74b57a-5358-4553-8811-9c7c0084d9a1,2111,354,94,187436
5c3dd091-aee0-4b24-9ebd-a1e1920eeb0b,1056,349,2440,28314
5f7cc7dc-6403-426c-8ac2-c7cf28264e18,183,115,94,24238
690c8995-b14f-4548-8a0c-dc71adf305f1,82,40,41,15796
7a4096ca-5e0f-4f7d-a0ec-55ae1c66829d,66,48,0,7664
7bed96bf-e288-491f-989c-47b1fc6854d1,128,43,18,9204
7c9fbdb0-0969-4e13-b47a-1628a17bd808,127,86,65,6197
7fc6d012-f7df-4896-845d-4459a4c42e27,87,63,38,13843
8859e472-8f5e-408b-a1c9-b60e62a111c5,166,72,1,20189
8a82c68e-113e-48f2-9e28-1398dcc21a05,234,32,162,4293
90df79df-4887-49ef-9d0d-6594e4ca5362,140,63,57,26915
a66df9a4-8323-4dbd-9854-bec0ce00e092,150,70,47,14086
a9fd443b-7e9b-4303-8bf9-71206ccd7791,83,29,62,6612
ae6b1b5f-bf3a-4be0-bc3e-5c19e703630b,154,100,73,15091
c1b29061-ed54-4f0d-9411-085fc3bf3dd6,101,50,5,10121
c8609cb4-0332-4b5f-987b-ce127ee425f4,1356,950,3742,92243
cccb5520-b990-4b0f-8996-c9a68a7a9212,151,107,1,23424
cd46944a-fbec-41d3-aaa5-c2bb796243fe,78,48,73,13245
d08d0dfb-523f-4b81-a49d-6600ad9f6269,1425,601,6026,79155
d4215e97-2b6e-4fe0-8ca3-8815039eca50,161,100,61,31923
d7560bf6-96ed-47c7-9d56-2828290ce6bd,81,23,91,7084
d7e22f77-addd-49bc-8674-0662cb8ebc45,176,81,368,17908
de80ea16-691a-4aaf-88b6-2e11afb05b1f,252,82,62,10818
e67fcb6a-7d15-401b-a25c-67469b5c1c57,323,168,1995,41167
eb174bd1-51c6-4af3-82a0-5f4d269b4d17,142,46,309,11241
f4476b3d-42ac-4920-9beb-99de7ca13158,83,53,39,12459
f543caa2-66b9-40d8-b13b-8dd4d18269c9,144,88,94,17300
