user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
0028e944-25f6-4b5a-940b-1c9a1b91ef86,22,11,34,3217
01258eb4-e987-48e3-86cb-dd8b79790ad5,1103,609,2601,118011
017da950-83a9-4d0b-bd51-5c3379d24265,225,194,201,25660
02b45962-11af-481d-9e45-05688ff3a507,33,11,11,6749
042d17f8-a36a-49ad-ba2b-27488152bf26,189,64,29,18036
0431c5f1-b187-48f4-9b97-a69e2a3f1d36,94,31,9,5602
0437d85e-da6b-452e-a672-647a8f246c45,95,82,7,11155
04eceb2f-2de5-4f3a-b570-75c65ba54fda,1215,575,1001,100795
05022007-8b1a-46c4-adcb-9ad78b73bfa8,37,21,46,4263
065854f6-c4e0-4f14-85df-2c9e1c515aca,174,46,247,14964
08b3c832-ca58-4118-b967-bdb2c6a1a73d,128,110,212,24311
08c38cb3-0845-49c8-8a45-a53c8dbb33fa,29,16,81,2501
0a1f58ed-812d-49f5-b0e8-b2f9619fef5e,2801,784,79,147287
0a82ae1f-cee3-4e23-8038-c4e407bad89e,774,86,992,22030
0e52bcdd-10f3-4982-8dee-e5c55071fd89,1760,718,223,81510
0ec4f578-4c6f-4c13-8dcf-ba875ab7cdff,7,6,0,907
10bd8507-fced-4950-9ff9-95b25215b5b2,10,6,32,1426
10c3bc67-63ba-4757-bd6e-db02c471ae6a,77,12,22,3109
118a2f41-f600-4ac1-8d29-934a4d142d1d,1133,419,86,85705
12032b15-c76a-449d-8368-e9bae8b5fd71,1087,610,21,111248
12f378ad-6672-4df7-aeb0-8b93194f885b,2897,890,754,158592
160b7b95-1bfc-439b-b730-b63e022845f0,168,18,4,9212
176045c2-bcac-458d-b2f4-245ff355719a,95,50,252,21704
1798d2c6-81bc-4e8f-b5f6-27ef7d2ee4f3,575,342,49,35453
19237c94-8e84-41af-be16-614f6afb08f9,19,8,128,3633
19556bd5-5c41-419c-81bf-dbb34176a674,22,6,53,4050
196339fd-e315-4cea-9759-e42fc4e30024,1252,468,35,88121
19ec9f6a-94b0-41ae-a9cc-ac9adbf5d2dd,1093,461,207,72715
1a398b00-e9cd-4a8e-8cd2-e9dd261e5e63,770,175,155,28431
1a441a86-e106-4fb4-b985-3394b21c697c,876,342,7,37764
1b887aaa-0bc2-4d20-85f3-203498ec0da3,19,11,4,4332
1d27adc6-01e9-4d7d-8411-3e0eee2ef634,17,7,15,2710
1d7989a3-28ef-44e7-bed9-88a3b2082c61,1257,364,0,106529
1f89f552-11a9-47f3-aa4b-31686ef739e2,479,176,160,25198
203b7394-596c-4ac4-8f6c-8dbe9672ed81,18,6,1,260
21987e3c-ed83-4443-8830-7a2492c91771,217,108,86,34472
21b5b4ec-cf38-46f1-8a18-2b950399dc2d,611,488,146,77930
232ee8b0-ed78-41ba-8d50-70a1716e0af0,563,353,190,67191
24fa2e41-241d-4158-b056-d37f36514234,18,12,0,5301
2582c496-ff55-4af9-b200-1f3339fff950,1093,438,110,53275
25c5ae85-1d54-4f56-9169-a9b8defb0c6b,258,143,570,15201
2608c2e5-5c0b-4c62-a0e3-f93220fbe6eb,88,34,79,14892
26e6e0d0-aabb-4efa-9664-f351695fae32,1077,313,50,113273
278376da-7fa6-4e5d-b9c9-57aab1e50807,594,265,1,26559
