user_id,role,n_validation_received,n_received_agree,n_received_disagree,n_received_unsure,n_received_tie,n_received_curb_ramp,n_received_curb_ramp_agree,n_received_curb_ramp_disagree,n_received_curb_ramp_unsure,n_received_curb_ramp_tie,n_received_missing_curb_ramp,n_received_missing_curb_ramp_agree,n_received_missing_curb_ramp_disagree,n_received_missing_curb_ramp_unsure,n_received_missing_curb_ramp_tie,n_received_obstacle,n_received_obstacle_agree,n_received_obstacle_disagree,n_received_obstacle_unsure,n_received_obstacle_tie,n_received_surface_problem,n_received_surface_problem_agree,n_received_surface_problem_disagree,n_received_surface_problem_unsure,n_received_surface_problem_tie,n_validation_given,n_given_agree,n_given_disagree,n_given_unsure,n_given_curb_ramp,n_given_curb_ramp_agree,n_given_curb_ramp_disagree,n_given_curb_ramp_unsure,n_given_missing_curb_ramp,n_given_missing_curb_ramp_agree,n_given_missing_curb_ramp_disagree,n_given_missing_curb_ramp_unsure,n_given_obstacle,n_given_obstacle_agree,n_given_obstacle_disagree,n_given_obstacle_unsure,n_given_surface_problem,n_given_surface_problem_agree,n_given_surface_problem_disagree,n_given_surface_problem_unsure,n_audit_mission,n_validation_mission,high_quality_manual,meters_audited,n_label,n_label_with_tag,n_label_with_description,n_label_with_severity,label_severity_min,label_severity_max,label_severity_mean,label_severity_sd,n_curb_ramp,n_curb_ramp_with_tag,n_curb_ramp_with_description,n_curb_ramp_with_severity,curb_ramp_severity_min,curb_ramp_severity_max,curb_ramp_severity_mean,curb_ramp_severity_sd,n_missing_curb_ramp,n_missing_curb_ramp_with_tag,n_missing_curb_ramp_with_description,n_missing_curb_ramp_with_severity,missing_curb_ramp_severity_min,missing_curb_ramp_severity_max,missing_curb_ramp_severity_mean,missing_curb_ramp_severity_sd,n_obstacle,n_obstacle_with_tag,n_obstacle_with_description,n_obstacle_with_severity,obstacle_severity_min,obstacle_severity_max,obstacle_severity_mean,obstacle_severity_sd,n_surface_problem,n_surface_problem_with_tag,n_surface_problem_with_description,n_surface_problem_with_severity,surface_problem_severity_min,surface_problem_severity_max,surface_problem_severity_mean,surface_problem_severity_sd,n_no_sidewalk,n_no_sidewalk_with_tag,n_no_sidewalk_with_description,n_no_sidewalk_with_severity,no_sidewalk_severity_min,no_sidewalk_severity_max,no_sidewalk_severity_mean,no_sidewalk_severity_sd,tutorial_minutes,tutorial_error_count
0028e944-25f6-4b5a-940b-1c9a1b91ef86,Registered,21,19,1,0,1,2,1,0,0,1,7,7,0,0,0,10,9,1,0,0,2,2,0,0,0,30,17,12,1,10,7,2,1,10,5,5,0,10,5,5,0,0,0,0,0,1,3,,152.39999389648438,33,29,1,33,2,5,3.9090909090909091,0.80481505498298969586,2,1,1,2,4,5,4.5000000000000000,0.70710678118654752440,7,4,0,7,3,4,3.8571428571428571,0.37796447300922722721,22,22,0,22,2,5,3.9090909090909091,0.92113237294367658374,2,2,0,2,3,4,3.5000000000000000,0.70710678118654752440,0,0,0,0,,,,,5.52,3
01258eb4-e987-48e3-86cb-dd8b79790ad5,Registered,194,137,48,3,6,28,5,17,0,6,52,43,8,1,0,15,13,2,0,0,99,76,21,2,0,30,22,5,3,10,9,1,0,10,6,1,3,0,0,0,0,10,7,3,0,70,3,,10197.376239776611,1446,1218,0,1439,1,5,2.9325920778318277,0.71564157174801472207,28,26,0,28,2,5,3.1785714285714286,0.94491118252306806803,187,19,0,185,3,5,3.0540540540540541,0.30803955367370772484,830,775,0,827,2,5,3.0145102781136638,0.66731535127099559658,374,371,0,374,1,5,2.6149732620320856,0.80307076490098951779,27,27,0,25,2,5,3.8000000000000000,0.91287092917527685576,,
017da950-83a9-4d0b-bd51-5c3379d24265,Registered,218,139,56,18,5,9,7,1,0,1,28,20,7,1,0,19,9,3,7,0,162,103,45,10,4,20,19,0,1,0,0,0,0,0,0,0,0,10,9,0,1,10,10,0,0,8,2,,2041.0637664794922,639,562,6,627,2,5,3.5980861244019139,0.70452406538380489630,9,7,1,9,2,4,2.8888888888888889,0.60092521257733154885,32,31,0,32,3,5,3.9375000000000000,0.75935031653763498751,344,316,4,339,2,5,3.4896755162241888,0.71068319556462201700,245,204,0,241,2,5,3.7219917012448133,0.64022601472514665911,4,4,0,4,3,5,4.2500000000000000,0.95742710775633810998,55.50,0
02b45962-11af-481d-9e45-05688ff3a507,Anonymous,18,16,2,0,0,0,0,0,0,0,8,7,1,0,0,10,9,1,0,0,0,0,0,0,0,10,7,3,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,0,0,1,1,,258.19742584228516,19,1,0,19,2,5,4.1052631578947368,0.93658581158169396586,0,0,0,0,,,,,8,0,0,8,3,5,4.0000000000000000,0.92582009977255146157,11,1,0,11,2,5,4.1818181818181818,0.98164981721404279817,0,0,0,0,,,,,0,0,0,0,,,,,4.24,3
042d17f8-a36a-49ad-ba2b-27488152bf26,Registered,57,49,8,0,0,9,6,3,0,0,27,24,3,0,0,11,9,2,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,,1676.3999633789062,106,98,0,100,1,5,2.9400000000000000,0.72222999218819597298,9,3,0,9,1,3,1.4444444444444444,0.72648315725677892537,35,34,0,31,3,4,3.0322580645161290,0.17960530202677490072,50,49,0,48,2,5,3.1250000000000000,0.60582280957037651047,12,12,0,12,2,5,3.0833333333333333,0.79296146109875906622,0,0,0,0,,,,,3.32,1
0431c5f1-b187-48f4-9b97-a69e2a3f1d36,Anonymous,40,36,3,0,1,20,18,1,0,1,10,10,0,0,0,10,8,2,0,0,0,0,0,0,0,30,23,7,0,20,14,6,0,0,0,0,0,10,9,1,0,0,0,0,0,4,3,,833.0009155273438,46,16,1,27,1,5,2.7777777777777778,1.8257418583505537,20,6,0,17,1,3,1.4705882352941176,0.71743005397943929212,10,0,1,5,5,5,5.0000000000000000,0,11,9,0,2,5,5,5.0000000000000000,0,0,0,0,0,,,,,5,1,0,3,5,5,5.0000000000000000,0,6.91,1
0437d85e-da6b-452e-a672-647a8f246c45,Registered,151,123,22,3,3,3,2,1,0,0,45,38,5,0,2,21,20,1,0,0,82,63,15,3,1,210,191,19,0,30,25,5,0,90,83,7,0,30,29,1,0,60,54,6,0,4,21,,838.1999816894531,279,275,1,270,1,5,3.6370370370370370,1.0982067668305353,3,2,0,3,1,4,2.6666666666666667,1.5275252316519467,45,44,0,43,3,5,4.7906976744186047,0.51446410096812303422,144,143,0,142,1,5,3.4225352112676056,0.99875059298021137334,82,82,0,77,1,5,3.4415584415584416,1.1179575654961913,4,4,0,4,3,3,3.0000000000000000,0,14.84,2
04eceb2f-2de5-4f3a-b570-75c65ba54fda,Registered,250,208,22,4,16,73,48,9,0,16,81,73,6,2,0,19,18,1,0,0,77,69,6,2,0,140,133,5,2,30,28,1,1,50,48,2,0,20,18,2,0,40,39,0,1,72,14,,10255.63376903534,1303,1210,5,1287,1,5,3.7723387723387723,1.1746066679918308,73,29,0,71,1,5,2.0000000000000000,1.2873006086935783,313,301,1,311,1,5,3.9453376205787781,0.91945064164360460808,559,542,3,552,1,5,3.9492753623188406,1.0815896331623638,236,226,0,233,1,5,3.4291845493562232,1.1982054560602962,122,112,1,120,1,5,4.2250000000000000,0.99124317158308033089,1.94,1
05022007-8b1a-46c4-adcb-9ad78b73bfa8,Registered,30,20,9,0,1,3,2,0,0,1,11,6,5,0,0,10,10,0,0,0,6,2,4,0,0,30,23,4,3,10,5,4,1,10,10,0,0,0,0,0,0,10,8,0,2,2,3,,314.9733076095581,40,38,0,38,1,3,2.3947368421052632,0.71808580697124348819,3,1,0,3,1,3,2.0000000000000000,1.00000000000000000000,11,11,0,11,1,3,1.9090909090909091,0.53935988997059366900,19,19,0,18,1,3,2.7777777777777778,0.54831888055331619236,6,6,0,5,2,3,2.6000000000000000,0.54772255750516611346,1,1,0,1,1,1,1.00000000000000000000,,4.04,1
065854f6-c4e0-4f14-85df-2c9e1c515aca,Registered,87,71,15,1,0,8,6,2,0,0,34,28,6,0,0,10,10,0,0,0,35,27,7,1,0,30,26,1,3,0,0,0,0,10,9,1,0,10,9,0,1,10,8,0,2,9,3,,1842.0713329315186,176,168,0,173,1,5,3.6936416184971098,1.5149698856864780,8,5,0,8,1,5,1.7500000000000000,1.3887301496588272,48,46,0,48,1,5,4.4583333333333333,1.1661599710220654,55,53,0,55,1,5,3.7090909090909091,1.5356591933919317,55,54,0,54,1,5,3.1481481481481481,1.4062851828039235,10,10,0,8,3,5,4.6250000000000000,0.74402380914284495189,4.70,3
