user_id,city,role,n_validation_received,n_received_agree,n_received_disagree,n_received_unsure,n_received_tie,n_received_curb_ramp,n_received_curb_ramp_agree,n_received_curb_ramp_disagree,n_received_curb_ramp_unsure,n_received_curb_ramp_tie,n_received_missing_curb_ramp,n_received_missing_curb_ramp_agree,n_received_missing_curb_ramp_disagree,n_received_missing_curb_ramp_unsure,n_received_missing_curb_ramp_tie,n_received_obstacle,n_received_obstacle_agree,n_received_obstacle_disagree,n_received_obstacle_unsure,n_received_obstacle_tie,n_received_surface_problem,n_received_surface_problem_agree,n_received_surface_problem_disagree,n_received_surface_problem_unsure,n_received_surface_problem_tie,n_validation_given,n_given_agree,n_given_disagree,n_given_unsure,n_given_curb_ramp,n_given_curb_ramp_agree,n_given_curb_ramp_disagree,n_given_curb_ramp_unsure,n_given_missing_curb_ramp,n_given_missing_curb_ramp_agree,n_given_missing_curb_ramp_disagree,n_given_missing_curb_ramp_unsure,n_given_obstacle,n_given_obstacle_agree,n_given_obstacle_disagree,n_given_obstacle_unsure,n_given_surface_problem,n_given_surface_problem_agree,n_given_surface_problem_disagree,n_given_surface_problem_unsure,n_audit_mission,n_validation_mission,high_quality_manual,meters_audited,n_label,n_label_with_tag,n_label_with_description,n_label_with_severity,label_severity_min,label_severity_max,label_severity_mean,label_severity_sd,n_curb_ramp,n_curb_ramp_with_tag,n_curb_ramp_with_description,n_curb_ramp_with_severity,curb_ramp_severity_min,curb_ramp_severity_max,curb_ramp_severity_mean,curb_ramp_severity_sd,n_missing_curb_ramp,n_missing_curb_ramp_with_tag,n_missing_curb_ramp_with_description,n_missing_curb_ramp_with_severity,missing_curb_ramp_severity_min,missing_curb_ramp_severity_max,missing_curb_ramp_severity_mean,missing_curb_ramp_severity_sd,n_obstacle,n_obstacle_with_tag,n_obstacle_with_description,n_obstacle_with_severity,obstacle_severity_min,obstacle_severity_max,obstacle_severity_mean,obstacle_severity_sd,n_surface_problem,n_surface_problem_with_tag,n_surface_problem_with_description,n_surface_problem_with_severity,surface_problem_severity_min,surface_problem_severity_max,surface_problem_severity_mean,surface_problem_severity_sd,n_no_sidewalk,n_no_sidewalk_with_tag,n_no_sidewalk_with_description,n_no_sidewalk_with_severity,no_sidewalk_severity_min,no_sidewalk_severity_max,no_sidewalk_severity_mean,no_sidewalk_severity_sd,tutorial_minutes,tutorial_error_count
04a5aab0-82ac-44a4-8a23-47b27d129336,pittsburgh,Registered,36,33,2,1,0,10,9,0,1,0,11,10,1,0,0,4,3,1,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,,1219.199951171875,344,272,23,340,1,5,3.2705882352941176,1.4132807522983307,74,32,5,72,1,5,2.0694444444444444,1.3356054584090623,19,16,0,19,3,5,3.8421052631578947,0.76471911290187255302,131,119,7,129,1,5,3.2713178294573643,1.2915103681379224,68,67,2,68,1,5,3.5441176470588235,1.1899306831612963,40,30,5,40,3,5,4.7500000000000000,0.49354811679282455726,3.79,2
06dcb7c3-b401-4602-b82d-73f4254d303a,pittsburgh,Registered,24,23,1,0,0,11,10,1,0,0,4,4,0,0,0,0,0,0,0,0,9,9,0,0,0,70,59,10,1,40,34,6,0,10,7,3,0,0,0,0,0,20,18,1,1,8,7,,990.5999603271484,77,31,0,73,1,4,2.0000000000000000,0.86602540378443864676,47,7,0,45,1,4,1.5777777777777778,0.65674434242948093563,5,0,0,5,3,4,3.8000000000000000,0.44721359549995793928,11,11,0,11,2,3,2.6363636363636364,0.50452497910951301624,11,10,0,9,2,3,2.1111111111111111,0.33333333333333333333,3,3,0,3,2,3,2.6666666666666667,0.57735026918962576451,2.57,0
08a16a7a-a1a0-478b-b3c4-2e351327fc10,pittsburgh,Registered,37,28,8,1,0,11,9,2,0,0,11,9,2,0,0,5,4,0,1,0,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,,1066.7999572753906,236,198,0,233,1,5,3.1502145922746781,1.3093537647778280,37,21,0,37,1,5,2.2162162162162162,1.1579468212490765,16,12,0,16,1,4,2.3750000000000000,1.0878112581387147,26,25,0,25,1,5,2.5600000000000000,1.1575836902790225,63,56,0,62,1,5,2.7258064516129032,1.2303452113021320,94,84,0,93,2,5,4.0967741935483871,0.82177586239949904768,3.05,0
09dbf533-30f3-4aac-b550-77654f8de0d3,pittsburgh,Registered,10,7,3,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,,1198.4610328674316,53,40,3,46,1,5,3.6956521739130435,1.4432919965965354,21,10,1,19,1,5,2.4736842105263158,1.2635233389495326,3,3,0,3,3,5,3.6666666666666667,1.1547005383792515,14,14,2,12,4,5,4.9166666666666667,0.28867513459481288225,10,9,0,7,3,5,4.0000000000000000,1.00000000000000000000,5,4,0,5,5,5,5.0000000000000000,0,5.58,3
0a9745e1-a0cb-4fa1-9fbf-aeb71fa83696,pittsburgh,Registered,12,11,1,0,0,10,9,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,,1219.199951171875,67,61,0,62,1,5,3.1129032258064516,1.2427473360667079,29,25,0,27,1,5,2.7407407407407407,1.2887857312092887,1,1,0,1,4,4,4.0000000000000000,,34,32,0,32,1,5,3.2812500000000000,1.1139692183156762,0,0,0,0,,,,,3,3,0,2,5,5,5.0000000000000000,0,2.21,0
0e07e366-b7f6-451a-a720-547cd1334d7b,pittsburgh,Registered,32,28,4,0,0,10,8,2,0,0,11,11,0,0,0,1,0,1,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,,1219.199951171875,183,110,0,176,1,5,2.3181818181818182,1.01469719109219456358,73,25,0,71,1,5,1.7464788732394366,0.93683829766713483284,20,2,0,20,2,4,3.0000000000000000,0.56195148694901637952,37,32,0,37,1,5,2.6216216216216216,1.0097125925329046,45,43,0,42,1,4,2.6666666666666667,0.90166963466743228960,8,8,0,6,2,3,2.5000000000000000,0.54772255750516611346,1.82,0
186f987a-4edb-485d-954e-aaf1f9b6f6d8,pittsburgh,Registered,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,838.1999664306641,26,15,0,23,1,3,1.5217391304347826,0.79025687523346162958,12,1,0,12,1,1,1.00000000000000000000,0,0,0,0,0,,,,,13,13,0,10,1,3,2.0000000000000000,0.81649658092772603273,1,1,0,1,3,3,3.0000000000000000,,0,0,0,0,,,,,,
29667728-f533-4d81-847b-336ed088b484,pittsburgh,Registered,24,19,5,0,0,10,8,2,0,0,4,2,2,0,0,0,0,0,0,0,10,9,1,0,0,10,6,3,1,10,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,,1066.7999572753906,49,45,0,49,1,5,3.9183673469387755,1.3514919948874644,22,18,0,22,1,5,2.6818181818181818,1.0861186305619104,4,4,0,4,4,5,4.7500000000000000,0.50000000000000000000,0,0,0,0,,,,,10,10,0,10,4,5,4.9000000000000000,0.31622776601683793320,13,13,0,13,5,5,5.0000000000000000,0,2.10,1
2a173636-c664-42e3-ba9b-4d6ef869d092,pittsburgh,Registered,32,28,3,1,0,12,9,2,1,0,9,9,0,0,0,0,0,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,,1371.5999450683594,121,35,0,113,1,5,2.3539823008849558,1.2671703148459569,67,15,0,60,1,5,1.7666666666666667,1.1551897146513027,11,0,0,11,2,4,3.0000000000000000,0.89442719099991587856,13,8,0,13,1,5,3.2307692307692308,1.2351684199496948,16,11,0,15,1,5,2.6000000000000000,1.0555973258234952,14,1,0,14,2,5,3.2857142857142857,0.91387353346337542616,2.81,1
2b4822b9-cb6d-45b7-aaa3-582bcd9bb13f,pittsburgh,Registered,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,,1219.199951171875,39,30,0,32,1,5,3.6875000000000000,1.1198358174592006,6,2,0,6,1,3,1.6666666666666667,1.0327955589886445,0,0,0,0,,,,,24,24,0,23,4,5,4.0434782608695652,0.20851441405707476268,0,0,0,0,,,,,4,4,0,3,5,5,5.0000000000000000,0,3.29,1
